"year","lat","lon","sum_rad","avg_rad","distance","wdpa_pid_num"
2016,-64.65,-27.65,0.711196,0.711196,182735.95651,555547601
2016,-64.55,-26.85,1.52946,1.52946,174582.31854,555547601
2016,-64.45,-31.35,1.51618,1.51618,178467.79412,555547601
2016,-64.45,-28.65,0.567843,0.567843,164655.73194,555547601
2016,-64.45,-26.75,1.8659,1.8659,165782.84758,555547601
2016,-64.45,-26.35,1.99017,1.99017,170147.25336,555547601
2016,-64.35,-24.65,1.996137,0.9980685,184626.67647,555547601
2016,-64.25,-28.95,0.990363,0.990363,146528.00521,555547601
2016,-64.25,-25.15,0.503501,0.503501,165640.80142,555547601
2016,-64.15,-25.55,0.75912,0.75912,151099.19843,555547601
2016,-64.05,-28.65,2.16547,2.16547,128353.05458,555547601
2016,-64.05,-28.35,1.56784,1.56784,128353.05458,555547601
2016,-64.05,-26.25,1.31628,1.31628,132894.63226,555547601
2016,-64.05,-24.05,0.906543,0.906543,166437.81368,555547601
2016,-63.95,-27.85,0.627466,0.627466,119247.9565,555547601
2016,-63.95,-27.25,0.562746,0.562746,119247.9565,555547601
2016,-63.95,-26.95,5.149199,1.71639966666667,119247.9565,555547601
2016,-63.85,-33.55,0.540553,0.540553,174158.38379,555547601
2016,-63.85,-32.75,0.619785,0.619785,156128.48288,555547601
2016,-63.85,-27.55,1.40212,1.40212,110131.15552,555547601
2016,-63.85,-26.95,0.717205,0.717205,110131.15552,555547601
2016,-63.75,-32.65,1.31544,1.31544,146981.23634,555547601
2016,-63.75,-32.25,3.37205,3.37205,140621.63427,555547601
2016,-63.75,-28.15,1.58329,1.58329,101002.68563,555547601
2016,-63.75,-26.95,1.33204,1.33204,101002.68563,555547601
2016,-63.65,-30.65,0.484484,0.484484,105368.48668,555547601
2016,-63.55,-28.55,4.4603,4.4603,82710.87431,555547601
2016,-63.55,-28.35,3.10858,3.10858,82710.87431,555547601
2016,-63.45,-27.35,2.94893,2.94893,73547.60003,555547601
2016,-63.45,-22.95,0.627548,0.627548,142519.42999,555547601
2016,-63.35,-35.05,3.58234,3.58234,182756.65694,555547601
2016,-63.35,-31.25,0.923274,0.923274,92230.16311,555547601
2016,-63.35,-26.95,0.484784,0.484784,64372.79116,555547601
2016,-63.25,-34.95,1.45086,1.45086,174333.39074,555547601
2016,-63.25,-33.45,1.33317,1.33317,131959.48906,555547601
2016,-63.25,-32.95,1.87601,1.87601,120674.6117,555547601
2016,-63.25,-32.45,3.12852,3.12852,109007.36041,555547601
2016,-63.25,-32.05,0.489712,0.489712,99200.26817,555547601
2016,-63.25,-30.15,1.45781,1.45781,67636.48606,555547601
2016,-63.25,-27.95,2.99033,2.99033,55186.48088,555547601
2016,-63.25,-22.75,2.10293,2.10293,130169.25409,555547601
2016,-63.15,-34.75,2.26474,2.26474,162578.17232,555547601
2016,-63.15,-33.95,31.6979,31.6979,140433.42477,555547601
2016,-63.15,-32.75,214653.556088,107326.778044,108983.08486,555547601
2016,-63.15,-28.05,0.66883,0.66883,45988.7022,555547601
2016,-63.15,-26.15,0.709953,0.709953,46873.94534,555547601
2016,-63.05,-30.45,3.74617,3.74617,56276.01089,555547601
2016,-63.05,-30.15,1.05233,1.05233,50064.51237,555547601
2016,-63.05,-29.65,28879.5,28879.5,49179.48796,555547601
2016,-63.05,-23.75,0.565016,0.565016,79583.94045,555547601
2016,-63.05,-22.75,0.556685,0.556685,111430.34086,555547601
2016,-62.95,-35.35,1.59841,1.59841,171323.49979,555547601
2016,-62.95,-34.85,0.616331,0.616331,155151.60481,555547601
2016,-62.95,-28.55,0.905367,0.905367,27558.87086,555547601
2016,-62.95,-22.35,0.7506,0.7506,114775.20629,555547601
2016,-62.85,-28.55,0.80213,0.80213,18326.88344,555547601
2016,-62.85,-26.35,0.725344,0.725344,18326.88344,555547601
2016,-62.75,-34.45,0.492355,0.492355,131283.25413,555547601
2016,-62.75,-32.35,2.531202,1.265601,72529.3774,555547601
2016,-62.75,-27.35,1.31239,1.31239,5767.11615,555547601
2016,-62.75,-25.75,474.226,474.226,19698.63735,555547601
2016,-62.65,-35.05,6220.4,6220.4,146871.92351,555547601
2016,-62.65,-29.95,0.644952,0.644952,17792.59355,555547601
2016,-62.65,-26.75,3.17769,3.17769,-12571.07299,555547601
2016,-62.65,-25.85,1.74553,1.74553,7834.44032,555547601
2016,-62.65,-25.75,0.503759,0.503759,10921.44242,555547601
2016,-62.65,-22.85,1.18058,1.18058,70295.32774,555547601
2016,-62.55,-33.55,0.648062,0.648062,91143.69239,555547601
2016,-62.55,-32.95,0.72765,0.72765,76724.56231,555547601
2016,-62.55,-31.15,1.1634,1.1634,29730.08143,555547601
2016,-62.55,-24.25,0.796476,0.796476,16637.88365,555547601
2016,-62.45,-35.85,7456.5,7456.5,170512.28998,555547601
2016,-62.45,-31.55,0.503468,0.503468,32382.04578,555547601
2016,-62.45,-28.35,7.61247,7.61247,-26573.51443,555547601
2016,-62.45,-23.35,0.968079,0.968079,35319.86534,555547601
2016,-62.45,-22.85,0.566349,0.566349,51344.08113,555547601
2016,-62.45,-20.35,0.766607,0.766607,160507.30606,555547601
2016,-62.35,-35.25,0.556647,0.556647,142168.64623,555547601
2016,-62.35,-31.25,0.523514,0.523514,21106.45809,555547601
2016,-62.35,-20.05,0.642556,0.642556,167038.58799,555547601
2016,-62.25,-35.15,0.683917,0.683917,134094.95303,555547601
2016,-62.25,-34.65,0.521393,0.521393,115430.06772,555547601
2016,-62.25,-27.85,0.484714,0.484714,-49702.01492,555547601
2016,-62.15,-26.05,0.598269,0.598269,-55659.1061,555547601
2016,-62.15,-24.15,2.96063,2.96063,-25589.24617,555547601
2016,-62.15,-20.35,0.508664,0.508664,136758.5495,555547601
2016,-61.95,-32.45,0.366325,0.366325,22936.35415,555547601
2016,-61.85,-31.95,0.986512,0.986512,7592.40772,555547601
2016,-61.85,-28.35,4.26277,4.26277,-74611.30807,555547601
2016,-61.75,-22.45,64603.9,64603.9,-3443.10561,555547601
2016,-61.65,-35.05,1.27636,1.27636,106283.41448,555547601
2016,-61.65,-32.25,0.708068,0.708068,-6221.65855,555547601
2016,-61.65,-32.15,1.18145,1.18145,-13213.06729,555547601
2016,-61.65,-31.65,0.818904,0.818904,-22580.52884,555547601
2016,-61.65,-23.95,1.03539,1.03539,-66775.84875,555547601
2016,-61.65,-19.85,0.641992,0.641992,121480.27025,555547601
2016,-61.55,-34.45,0.702853,0.702853,76112.74008,555547601
2016,-61.55,-19.75,0.467951,0.467951,118632.93217,555547601
2016,-61.45,-28.15,1.42522,1.42522,-112096.95926,555547601
2016,-61.45,-27.35,2.11996,2.11996,-120511.46546,555547601
2016,-61.45,-26.15,0.961272,0.961272,-124496.95926,555547601
2016,-61.35,-36.55,0.717664,0.717664,164986.56639,555547601
2016,-61.35,-31.85,0.7629,0.7629,-38786.65774,555547601
2016,-61.35,-27.95,0.520635,0.520635,-121603.54687,555547601
2016,-61.35,-18.65,0.852134,0.852134,167568.54166,555547601
2016,-61.25,-36.85,7.31531,7.31531,177742.64002,555547601
2016,-61.25,-35.65,0.989787,0.989787,118473.38395,555547601
2016,-61.25,-34.65,5.92543,5.92543,75383.92332,555547601
2016,-61.25,-33.95,1.18224,1.18224,43020.82335,555547601
2016,-61.25,-30.55,0.676542,0.676542,-81610.95595,555547601
2016,-61.25,-28.15,0.520905,0.520905,-130086.35212,555547601
2016,-61.25,-27.65,1.02371,1.02371,-132197.5296,555547601
2016,-61.25,-26.85,3.16878,3.16878,-143305.30589,555547601
2016,-61.25,-18.45,10.3853,10.3853,173275.79333,555547601
2016,-61.15,-36.75,25.54674,8.51558,171021.8125,555547601
2016,-61.15,-33.55,1.98584,1.98584,23070.46861,555547601
2016,-61.15,-31.15,0.328181,0.328181,-69890.85613,555547601
2016,-61.15,-29.85,2.67287,2.67287,-105553.61193,555547601
2016,-61.15,-29.75,0.710885,0.710885,-107870.21401,555547601
2016,-61.15,-27.65,1.88869,1.88869,-141153.24916,555547601
2016,-61.15,-23.95,1.698497,0.8492485,-114970.22823,555547601
2016,-61.15,-22.35,9.33511,9.33511,-49372.90475,555547601
2016,-61.05,-36.75,7.85713,7.85713,169961.12046,555547601
2016,-61.05,-36.55,7.25646,7.25646,159141.58185,555547601
