closest_eez_boundary_territory,closest_eez_boundary_sovereign,inside_eez,min_distance
AIA,GBR,FALSE,407.3277133744128
AIA,GBR,TRUE,345.75818482086277
ATG,ATG,FALSE,977.4090145615896
ATG,ATG,TRUE,76.5916193825369
BHS,BHS,FALSE,866.8976054455997
BHS,BHS,TRUE,1.0509515726005028
BMU,GBR,FALSE,593.3759475879738
BMU,GBR,TRUE,5.882094142420486
BRB,BRB,FALSE,866.1821893365758
BRB,BRB,TRUE,5.5595467366794855
COK,NZL,FALSE,842.2235740685114
COK,NZL,TRUE,2.6127211899955207
CPV,CPV,FALSE,514.6781385652162
CPV,CPV,TRUE,1.0290294163448162
CUB,CUB,FALSE,1191.4734454132654
CUB,CUB,TRUE,91.94084208789775
DOM,DOM,FALSE,745.4299119656941
DOM,DOM,TRUE,367.9661110195776
FJI,FJI,FALSE,1377.041120127207
FJI,FJI,TRUE,6.5085852739469745
FSM,FSM,FALSE,538.9713720861829
FSM,FSM,TRUE,1.6864256748270954
GLP,FRA,FALSE,1138.372515134575
GLP,FRA,TRUE,338.9744596843808
GNB,GNB,FALSE,826.6379174094768
GNB,GNB,TRUE,107.047296466453
GUM,USA,FALSE,1332.5899767383598
GUM,USA,TRUE,24.530822987045653
GUY,GUY,FALSE,830.4185865000156
GUY,GUY,TRUE,90.22395835203145
KIR,KIR,FALSE,597.2869313906972
KIR,KIR,TRUE,3.081652106608579
MDV,MDV,FALSE,391.39964217723804
MDV,MDV,TRUE,3.999474517498061
MHL,MHL,FALSE,369.68459562635724
MHL,MHL,TRUE,3.2830137500801895
MNP,USA,FALSE,352.10235086764993
MNP,USA,TRUE,1.4747203443574992
MTQ,FRA,FALSE,2006.867856677991
MTQ,FRA,TRUE,1574.2267467205597
MUS,MUS,FALSE,379.31334113619823
MUS,MUS,TRUE,5.404898674437624
NCL,FRA,FALSE,1147.1842468146924
NCL,FRA,TRUE,8.170178815115039
NIU,NZL,FALSE,1052.4525354141533
NIU,NZL,TRUE,26.313615421347585
NRU,NRU,FALSE,917.2774855326647
NRU,NRU,TRUE,1.4846024650612273
PLW,PLW,FALSE,688.4900463384272
PLW,PLW,TRUE,1.6148626694285624
PNG,PNG,FALSE,449.32954600212213
PNG,PNG,TRUE,58.652513401145775
PYF,FRA,FALSE,465.60727019669605
PYF,FRA,TRUE,0.297940762427123
SLB,SLB,FALSE,599.2954800298311
SLB,SLB,TRUE,4.907249246323937
STP,STP,FALSE,1650.8019223852948
STP,STP,TRUE,216.0225673535841
SUR,SUR,FALSE,718.3990377119392
SUR,SUR,TRUE,185.6703061986584
SYC,SYC,FALSE,658.552099738866
SYC,SYC,TRUE,8.943910127198324
TCA,GBR,FALSE,717.2227063188564
TCA,GBR,TRUE,94.25732081247598
TON,TON,FALSE,1489.044353091919
TON,TON,TRUE,2.242961159944859
TTO,TTO,TRUE,7777.048850729791
VGB,GBR,FALSE,717.5058998225471
VGB,GBR,TRUE,356.6951383188525
VUT,VUT,FALSE,759.130999004714
VUT,VUT,TRUE,19.32094601725417
