name,desig,desig_type,area_km,no_take,area_no_take_km,status,year,parent_iso3,iso3,mpa_boundary
Argo-Rowley Terrace,Commonwealth Marine Reserve,National,62624.7255107,All,62624.7255107,Designated,2012,AUS,AUS,"MULTIPOLYGON (((119.8167 -13.85766, 119.8167 -14.4, 118.9833 -14.4, 118.9833 -15.16667, 118.2 -15.16667, 118.2 -15.91417, 118 -15.91417, 118 -16.48333, 116.4 -16.48333, 116.4 -15.22941, 116.4434 -15.18534, 116.492 -15.13788, 116.5694 -15.06579, 116.6074 -15.0318, 116.6718 -14.97638, 116.7244 -14.93316, 116.798 -14.87539, 116.8801 -14.81462, 116.9429 -14.7706, 116.9995 -14.73262, 117.0641 -14.6912, 117.159 -14.63386, 117.2478 -14.58376, 117.3134 -14.5369, 117.3839 -14.48908, 117.4339 -14.45661, 117.5063 -14.41171, 117.5968 -14.35885, 117.664 -14.32185, 117.7702 -14.26721, 117.8402 -14.23365, 117.8868 -14.21232, 117.9573 -14.18158, 118.0205 -14.15554, 118.0922 -14.1277, 118.1565 -14.10426, 118.2293 -14.07934, 118.2868 -14.06088, 118.2912 -13.96699, 118.2953 -13.90569, 118.3057 -13.79432, 118.3136 -13.72828, 118.3284 -13.62566, 118.3386 -13.56616, 118.3498 -13.50686, 118.3621 -13.44776, 118.3824 -13.35831, 118.3974 -13.29819, 118.4122 -13.24267, 118.5135 -13.29786, 118.5694 -13.32646, 118.6259 -13.35402, 118.7116 -13.39342, 118.8129 -13.4364, 118.9156 -13.47611, 118.9749 -13.49732, 119.0346 -13.51745, 119.1097 -13.54106, 119.2006 -13.56713, 119.2616 -13.58312, 119.3691 -13.60839, 119.5065 -13.69255, 119.561 -13.7246, 119.6299 -13.76324, 119.6858 -13.793, 119.7422 -13.82174, 119.8167 -13.85766)))"
British Indian Ocean Territory Marine Protected Area (Chagos),Marine Protected Area,National,640000,All,640000,Designated,2010,GBR,IOT,"MULTIPOLYGON (((72.45392 -10.79456, 72.38622 -10.79433, 72.30163 -10.79214, 72.24612 -10.78958, 72.14482 -10.78266, 72.07743 -10.77635, 72.00866 -10.76854, 71.94158 -10.75956, 71.85802 -10.74644, 71.77482 -10.73125, 71.72509 -10.72114, 71.62614 -10.6987, 71.56058 -10.68209, 71.46292 -10.65474, 71.3963 -10.63429, 71.28425 -10.59646, 71.20508 -10.56705, 71.14231 -10.54211, 71.08006 -10.51592, 71.00303 -10.48145, 70.91179 -10.43757, 70.85174 -10.4068, 70.76288 -10.35842, 70.70449 -10.3247, 70.6468 -10.28982, 70.57571 -10.24462, 70.50581 -10.19765, 70.43539 -10.14771, 70.38136 -10.10754, 70.32816 -10.06629, 70.23713 -9.991585, 70.19895 -9.958609, 70.13645 -9.902384, 70.05141 -9.821095, 69.97355 -9.74135, 69.91713 -9.715849, 69.85104 -9.684389, 69.74605 -9.63085, 69.68693 -9.598616, 69.61399 -9.556675, 69.54214 -9.512928, 69.47142 -9.467394, 69.4157 -9.429708, 69.3347 -9.371933, 69.25411 -9.311302, 69.20144 -9.269552, 69.12405 -9.204975, 69.03631 -9.126747, 68.97537 -9.069014, 68.92769 -9.021744, 68.88098 -8.97353, 68.80163 -8.886948, 68.7361 -8.810566, 68.68329 -8.745436, 68.64225 -8.692396, 68.58995 -8.621552, 68.55137 -8.566725, 68.49559 -8.483067, 68.45106 -8.412096, 68.41675 -8.354536, 68.3821 -8.293688, 68.35014 -8.234804, 68.29709 -8.13026, 68.26147 -8.054485, 68.23436 -7.993238, 68.20848 -7.931463, 68.18292 -7.866825, 68.14836 -7.772514, 68.11664 -7.677214, 68.0833 -7.564886, 68.06603 -7.500196, 68.04879 -7.429705, 68.01505 -7.318117, 68.00173 -7.269703, 67.98115 -7.188583, 67.95915 -7.090603, 67.94306 -7.008474, 67.92649 -6.909433, 67.91932 -6.859735, 67.90657 -6.754736, 67.89747 -6.65473, 67.89264 -6.581514, 67.88957 -6.514635, 67.88748 -6.414238, 67.88884 -6.297089, 67.89231 -6.213478, 67.89659 -6.146666, 67.9022 -6.079952, 67.90914 -6.013363, 67.92446 -5.897217, 67.94382 -5.781672, 67.95669 -5.715975, 67.97204 -5.645082, 67.9875 -5.57995, 68.00865 -5.498989, 68.04162 -5.386583, 68.07297 -5.291203, 68.10126 -5.212465, 68.12056 -5.162039, 68.15452 -5.066641, 68.17241 -5.019747, 68.21687 -4.9114, 68.25091 -4.834991, 68.2795 -4.774494, 68.3324 -4.670042, 68.3806 -4.582027, 68.41418 -4.524168, 68.46667 -4.438671, 68.52843 -4.344866, 68.53864 -4.310778, 68.56936 -4.215204, 68.59714 -4.136297, 68.62075 -4.073683, 68.65201 -3.996101, 68.69899 -3.888855, 68.74219 -3.798288, 68.77247 -3.738647, 68.81198 -3.664967, 68.8449 -3.606747, 68.87896 -3.5492, 68.92312 -3.478241, 68.95971 -3.422285, 69.03191 -3.317577, 69.09127 -3.236788, 69.16352 -3.14484, 69.21705 -3.080744, 69.27215 -3.018002, 69.34272 -2.941774, 69.3891 -2.893732, 69.44841 -2.835005, 69.49689 -2.789104, 69.57128 -2.722094, 69.64763 -2.657349, 69.71269 -2.605169, 69.77993 -2.553936, 69.86115 -2.49551, 69.93013 -2.448702, 69.98614 -2.412514, 70.04285 -2.377449, 70.12918 -2.327002, 70.20124 -2.287502, 71.28722 -2.612223, 71.89445 -2.791945, 72.55945 -2.967499, 74 -3.256111, 75.0528 -3.465782, 75.09863 -3.537167, 75.14561 -3.613623, 75.17929 -3.671402, 75.23544 -3.774092, 75.26592 -3.833635, 75.29521 -3.893778, 75.32363 -3.95517, 75.35052 -4.016438, 75.38241 -4.093756, 75.40654 -4.156172, 75.42943 -4.219057, 75.45106 -4.282391, 75.47144 -4.346142, 75.49055 -4.410288, 75.50838 -4.474806, 75.52492 -4.539667, 75.54379 -4.621185, 75.55742 -4.686724, 75.57543 -4.785517, 75.58579 -4.851656, 75.59689 -4.934599, 75.60429 -5.001141, 75.60964 -5.05921, 75.62913 -5.170891, 75.63655 -5.220549, 75.64728 -5.303543, 75.65437 -5.370115, 75.66252 -5.470207, 75.66702 -5.553772, 75.66984 -5.670897, 75.66899 -5.771318, 75.66421 -5.888378, 75.65965 -5.955172, 75.65207 -6.038513, 75.64022 -6.138369, 75.67587 -6.239756, 75.69644 -6.303463, 75.72936 -6.415894, 75.74799 -6.486664, 75.76749 -6.568045, 75.79137 -6.682739, 75.81124 -6.798197, 75.82113 -6.867168, 75.83117 -6.950127, 75.83773 -7.016754, 75.84412 -7.101154, 75.84836 -7.184731, 75.85052 -7.268383, 75.85074 -7.336689, 75.84925 -7.449566, 75.84524 -7.56665, 75.84112 -7.633467, 75.83067 -7.750153, 75.82071 -7.833239, 75.80866 -7.916052, 75.78832 -8.031429, 75.76766 -8.129711, 75.75225 -8.194868, 75.73114 -8.27586, 75.69818 -8.388313, 75.67222 -8.467897, 75.65002 -8.531082, 75.6081 -8.640549, 75.58243 -8.702419, 75.5555 -8.763769, 75.52011 -8.839678, 75.4745 -8.930859, 75.4186 -9.033974, 75.37644 -9.106401, 75.34122 -9.163879, 75.27714 -9.262207, 75.24203 -9.313026, 75.19731 -9.375139, 75.15693 -9.428736, 75.11546 -9.481516, 75.07293 -9.533459, 74.99599 -9.62228, 74.90163 -9.725332, 74.85525 -9.773952, 74.77004 -9.858471, 74.7086 -9.915819, 74.67104 -9.949482, 74.6073 -10.00433, 74.55531 -10.04706, 74.50246 -10.08874, 74.45849 -10.1222, 74.40418 -10.162, 74.30721 -10.22903, 74.23651 -10.27482, 74.17911 -10.31016, 74.121 -10.34436, 74.01766 -10.40139, 73.9275 -10.44737, 73.83597 -10.49064, 73.77422 -10.51795, 73.69626 -10.55035, 73.616 -10.58139, 73.53649 -10.60986, 73.47235 -10.63121, 73.3901 -10.65655, 73.32504 -10.67499, 73.24203 -10.69653, 73.17619 -10.71203, 73.07687 -10.73281, 73.01032 -10.74501, 72.92679 -10.75839, 72.80934 -10.77361, 72.742 -10.78046, 72.65765 -10.78713, 72.53933 -10.79293, 72.45392 -10.79456)))"
Coral Sea,Commonwealth Marine Reserve,National,502649.00751,All,502649.00751,Designated,2012,AUS,AUS,"MULTIPOLYGON (((152.2525 -19.30417, 152.2367 -19.30417, 152.2117 -19.29, 152.1583 -19.22167, 152.1583 -19.1, 152.1333 -19.05833, 152.24 -18.92667, 152.3117 -18.92667, 152.3758 -19.0025, 152.3867 -19.0275, 152.3917 -19.08167, 152.4033 -19.10833, 152.41 -19.14917, 152.4033 -19.18833, 152.3583 -19.25833, 152.3267 -19.27667, 152.2683 -19.30417, 152.2525 -19.30417)), ((147.0967 -15.52167, 147.0833 -15.52167, 147.0833 -15.47833, 147.1367 -15.47833, 147.1367 -15.52167, 147.0967 -15.52167)), ((145.3231 -10.68183, 145.5715 -11.03174, 145.7246 -11.24692, 145.9486 -11.56102, 146.0999 -11.77259, 146.3418 -12.11025, 146.5011 -12.33183, 146.7932 -12.4725, 147.1427 -12.64016, 147.5782 -12.88753, 147.7578 -12.98918, 148.0844 -13.17348, 148.3728 -13.28057, 148.7297 -13.41249, 149.1874 -13.58072, 149.505 -13.69681, 149.8832 -13.8344, 150.1249 -13.92192, 150.5846 -14.08755, 150.8874 -14.19604, 151.2592 -14.32859, 151.6962 -14.48344, 152.1177 -14.63179, 152.3997 -14.64835, 152.6262 -14.66139, 152.9596 -14.68019, 153.2161 -14.69433, 153.5453 -14.71205, 154.0243 -14.73699, 154.251 -14.74845, 154.6636 -14.63423, 155.1211 -14.50658, 155.3928 -14.43026, 155.8454 -14.30236, 156.3056 -14.17125, 156.6176 -14.08178, 156.6824 -14.09569, 156.7819 -14.12109, 156.8969 -14.15433, 156.9703 -14.17773, 157.0511 -14.20558, 157.1073 -14.22623, 157.171 -14.25098, 157.2565 -14.28643, 157.4265 -14.43332, 157.7168 -14.6833, 157.9401 -14.90955, 158.1757 -15.14747, 158.3291 -15.30199, 158.5182 -15.49201, 158.761 -15.73524, 158.577 -16.06903, 158.3804 -16.42441, 158.1575 -16.75261, 157.9893 -16.99989, 157.8253 -17.24017, 157.6421 -17.50774, 157.5182 -17.68929, 157.3665 -17.91108, 157.1311 -18.2638, 156.9457 -18.54024, 156.7881 -18.7328, 156.6249 -18.93163, 156.4941 -19.05769, 156.2557 -19.28663, 156.4313 -19.55081, 156.5704 -19.75924, 156.6865 -19.93285, 156.8263 -20.14108, 156.9353 -20.33397, 157.0526 -20.54108, 157.0763 -20.71441, 157.1071 -20.89246, 157.1715 -21.2158, 157.2218 -21.61667, 155.95 -21.61667, 155.55 -21.61667, 155.55 -17.9, 154.4 -17.9, 152 -17.9, 151.1333 -17.9, 151.1333 -17.35, 151.1333 -17.18333, 149 -17.18333, 149 -16.76667, 149.8 -16.76667, 150.0569 -16.52074, 150.2 -16.38333, 150.2 -16.05, 150.0741 -15.91913, 149.8 -15.63333, 149 -15.63333, 148.7073 -15.476, 148.4588 -15.34195, 148.2326 -15.21949, 148.043 -15.11661, 147.759 -14.96199, 147.3882 -14.75925, 147.1052 -14.60382, 146.9167 -14.5, 146.9167 -14.305, 146.8183 -14.16583, 146.8025 -14.13167, 146.7867 -14.11, 146.6825 -14.02333, 146.6617 -13.99833, 146.6242 -13.97667, 146.6083 -13.96417, 146.6 -13.96417, 146.5958 -13.94167, 146.5661 -13.91389, 146.5517 -13.8925, 146.5517 -13.87, 146.5617 -13.83333, 146.5417 -13.8, 146.4167 -13.76667, 146.4167 -13.30843, 145.1548 -13.30843, 145.1548 -13.30843, 145.0011 -12.99852, 145.0011 -11.23, 145.001 -10.68189, 145.3231 -10.68183)))"
Freycinet,Commonwealth Marine Reserve,National,56792.6543193,All,56792.6543193,Designated,2012,AUS,AUS,"MULTIPOLYGON (((148.6667 -42.28806, 148.6785 -42.10556, 148.7017 -41.74444, 148.9352 -41.71024, 149.2109 -41.6692, 149.5708 -41.61454, 149.8351 -41.57362, 150.0569 -41.53879, 150.2573 -41.5069, 150.5733 -41.45585, 150.8889 -41.40393, 151.2249 -41.34759, 151.4661 -41.30649, 151.8115 -41.24664, 152.0102 -41.21171, 152.1981 -41.17831, 152.4589 -41.1314, 152.8129 -41.06667, 152.7953 -41.14138, 152.7858 -41.17816, 152.7895 -41.23395, 152.792 -41.29225, 152.7933 -41.35894, 152.7928 -41.4256, 152.7905 -41.49224, 152.7871 -41.55051, 152.7782 -41.64863, 152.793 -41.71947, 152.8064 -41.79379, 152.8152 -41.85174, 152.8248 -41.92706, 152.8339 -42.02681, 152.8373 -42.08508, 152.8416 -42.19857, 152.8425 -42.29022, 152.8415 -42.34422, 152.8428 -42.40055, 152.8423 -42.48386, 152.84 -42.55082, 152.833 -42.65066, 152.822 -42.75034, 152.8124 -42.81661, 152.7934 -42.92162, 152.7791 -42.98747, 152.7629 -43.05309, 152.7449 -43.11846, 152.7251 -43.18354, 152.7035 -43.24832, 152.6801 -43.31277, 152.6549 -43.37685, 152.6279 -43.44055, 152.6086 -43.48333, 152.453 -43.43957, 152.1735 -43.36026, 151.9978 -43.30997, 151.7607 -43.24151, 151.5755 -43.18759, 151.2982 -43.10614, 151.1343 -43.05756, 150.848 -42.97198, 150.5829 -42.89187, 150.3998 -42.83605, 150.1156 -42.74864, 149.8929 -42.67947, 149.5899 -42.58444, 149.4187 -42.53024, 149.1975 -42.45971, 148.8666 -42.35312, 148.6667 -42.28806)))"
